Ссылка на фото,Ссылка,Название,Описание,Цена,Артикул,Категория,Подкатегория 1,Подкатегория 2,Подкатегория 3
https://www.kuchenland.ru/upload/iblock/07b/d1aa0702_5bed_11eb_a031_9cdc71c2cdfd_4bd4ab99_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-13-sm-stal-plastik-med-active/,"Нож для нарезки, 13 см, сталь/пластик/медь, Active","Нож для нарезки. Размер лезвия: 130 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",599 Р,Т1-00003230,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/89d/e6a6f04f_5bed_11eb_a031_9cdc71c2cdfd_d4d6d552_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-15-sm-stal-plastik-med-active/,"Нож для нарезки, 15 см, сталь/пластик/медь, Active","Нож для нарезки. Размер лезвия: 150 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",790 Р,Т1-00003231,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/08e/a1888410_5bed_11eb_a031_9cdc71c2cdfd_2a3f3541_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-ovoshchnye/nozh-dlya-chistki-ovoshchey-9-sm-stal-plastik-med-active/,"Нож для чистки овощей, 9 см, сталь/пластик/медь, Active","Нож овощной. Размер лезвия: 90 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Применяется для резки и чистки овощей и фруктов. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",499 Р,Т1-00003229,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи овощные
https://www.kuchenland.ru/upload/iblock/161/f9a5e86d_5bed_11eb_a031_9cdc71c2cdfd_7412d99b_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-povarskie/nozh-povarskoy-20-sm-stal-plastik-med-active/,"Нож поварской, 20 см, сталь/пластик/медь, Active","Нож поварской. Размер лезвия: 200 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо, рыба) и для шинковки. Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",890 Р,Т1-00003232,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи поварские
https://www.kuchenland.ru/upload/iblock/00b/3d6129c4_5bee_11eb_a031_9cdc71c2cdfd_5c2a93cc_2512_11ec_a03a_9cdc71c2cdfd.jpg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-khlebnye/nozh-khlebnyy-20-sm-stal-plastik-med-active/,"Нож хлебный, 20 см, сталь/пластик/медь, Active","Нож хлебный. Размер лезвия: 200 мм. Материал: нержавеющая сталь 3Cr13, АБС-пластик, силикон, медь. Применяется для нарезки хлеба, а также плодов с твердой оболочкой и мягкой сердцевиной (арбуз, помидор). Рекомендации по уходу: рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине, но такой вид ухода может ускорить процесс износа ножей. Предпочтительнее использовать поверхности для резки из дерева или пластика. Использовать только по назначению. Хранить в сухом, недоступном для детей месте.",790 Р,Т1-00003233,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи хлебные
https://www.kuchenland.ru/upload/iblock/b03/dbd4d802_e144_11ea_bdf6_98f2b3f54c76_aa961736_a221_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-figurnoy-narezki-14-sm-s-volnistym-lezviem-stal-plastik-kremovyy-soft-kitchen/,"Нож для фигурной нарезки, 14 см, с волнистым лезвием, сталь/пластик, кремовый, Soft Kitchen","Нож для фигурной нарезки. 

Размер: 14 см. 
Материал: нержавеющая сталь, пластик. 

Нож предназначен для нарезки овощей и фруктов волнистыми ломтиками. 

Рекомендуется мыть вручную с применением мягких моющих средств. Можно мыть в посудомоечной машине.",299 Р,УТ000078503,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/5ac/852aa231_1014_11e8_9c33_984be101274e_fc845e63_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-16-sm-listovoy-light/,"Нож для нарезки, 16 см, листовой, Light","Нож универсальный.

Размер: 160 мм.
Материал: высококачественная нержавеющая сталь. 

Рекомендуется мыть вручную жидким моющим средством, без применения абразивных материалов и жёстких губок. Не рекомендуется мыть в посудомоечной машине. Использовать только по назначению! Хранить в недоступном для детей месте.",199 Р,УТ000048670,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/0ef/4b718edf_1010_11e8_9c33_984be101274e_fc845e47_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-ovoshchnye/nozh-dlya-chistki-ovoshchey-9-sm-listovoy-light/,"Нож для чистки овощей, 9 см, листовой, Light","Нож для чистки овощей. 

Размер: 90 мм
Материал: высококачественная нержавеющая сталь. 

Рекомендуется мыть вручную жидким моющим средством, без применения абразивных материалов и жёстких губок. Не рекомендуется мыть в посудомоечной машине. Использовать только по назначению! Хранить в недоступном для детей месте.",99 Р,УТ000048669,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи овощные
https://www.kuchenland.ru/upload/iblock/1a8/ca8eec3f_f341_11ea_8c2f_98f2b3f54c76_9c2e8d97_a227_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-solomkoy-s-vystupom-dlya-udaleniya-kartofelnykh-glazkov-derevo-stal-bezhevy/,"Нож для нарезки соломкой, с выступом для удаления картофельных глазков, дерево/сталь, бежевы","Нож для нарезки соломкой, с выступом для удаления картофельных глазков. Размер: 14x7x2 см. Материал: дерево бука, силикон, нержавеющая сталь. Рекомендации по уходу: мыть вручную с применением мягких моющих средств. Не использоввать для ухода абразивные чистящие средства и жесткие губки. Нельзя мыть в посудомоечной машине.",399 Р,УТ000079284,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/451/bfb30c7a_3597_11e9_80d4_98f2b3f54c77_9c300c5a_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-ovoshchnye/nozh-dlya-chistki-ovoshchey-6-sm-krasnyy-supreme/,"Нож для чистки овощей, 6 см, красный, Supreme","Нож для чистки овощей. 

Размер лезвия: 60 мм. 
Материал: высококачественная нержавеющая сталь, рукоятка покрыта пластиком. 

Применяется для резки и чистки овощей и фруктов. 
Использовать специальную разделочную поверхность (деревянную или пластиковую).

Мыть теплой водой с применением жидкого моющего средства, вытирать насухо. Смывать кислоты после резки овощей и фруктов сразу после использования. Использовать только по назначению! Не использовать в качестве открывалки или отвертки, не ронять на пол, не класть на горячие конфорки и иные источники интенсивного тепла, не резать замороженные продукты. Хранить в недоступном для детей месте.",349 Р,УТ000064640,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи овощные
https://www.kuchenland.ru/upload/iblock/990/b133a791_0f71_11e1_9cc3_984be1012754_5d65cf8e_a224_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-6-pr-v-podstavke-four-star/,"Набор ножей, 6 пр, в подставке, Four Star","Набор ножей: 
овощной
универсальный
для нарезки
поварской
хлебный
мусат
подставка (дерево)

Изготовлены из высококачественной нержавеющей стали, рукоятка покрыта пластиком. 

Мыть теплой водой с применением жидкого моющего средства, вытирать насухо. 
Смывать кислоты после резки овощей и фруктов сразу после использования. 
Использовать специальную разделочную поверхность (деревянную или пластиковую). 
Использовать только по назначению! Не использовать в качестве открывалки или отвертки, не резать замороженные продукты, не ронять на пол, не класть на горячие конфорки и иные источники интенсивного тепла.
Хранить в недоступном для детей месте.",19 990 Р,УТ000000994,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/181/b73637bb_e4ca_11e4_994c_984be101274e_5d65cf89_a224_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-4-pr-four-star/,"Набор ножей, 4 пр, Four Star","Набор ножей: 
овощной
поварской
для нарезки
хлебный

 Изготовлены из высококачественной нержавеющей стали, рукоятка покрыта пластиком. 

Мыть теплой водой с применением жидкого моющего средства, вытирать насухо. 
Смывать кислоты после резки овощей и фруктов сразу после использования. 
Использовать специальную разделочную поверхность (деревянную или пластиковую). 
Использовать только по назначению! Не использовать в качестве открывалки или отвертки, не резать замороженные продукты, не ронять на пол. 
Хранить в недоступном для детей месте.",14 990 Р,УТ000033176,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/aef/bf185d95_08f5_11e9_80d2_98f2b3f54c77_4d3f3dd1_a22d_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-5-pr-v-podstavke/,"Набор ножей, 5 пр, в подставке","Набор ножей в подставке, 5 предметов.

Комплектация: 
нож поварской 200 мм.
слайсер 200 мм.
нож для извлечения костей 152 мм.
нож универсальный 127 мм.
нож для чистки овощей и фруктов 90 мм.
подставка.

Материал: нержавеющая сталь, рукоятка покрыта пластиком.

Применяется для резки твердых и мягких продуктов (овощи, фрукты, мясо). А также для чистки овощей и фруктов.
Использовать специальную разделочную поверхность (деревянную или пластиковую). 
Не использовать в качестве открывалки или отвертки, не резать замороженные продукты, не ронять на пол, не класть на горячие конфорки и иные источники интенсивного тепла.",6 990 Р,УТ000059108,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/cab/2479f88f_3b1d_11e9_80d4_98f2b3f54c77_a833aeda_a203_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-steykovye/nozh-steykovyy-11-5-sm-actual/,"Нож стейковый, 11,5 см, Actual","Нож стейковый.

Размер лезвия: 11,5 см
Материл: лезвие - нержавеющая немецкая сталь X50CrMoV15 (1.4116), ручка – пластик.

Применяется как столовый прибор для разделки готового мяса.
Предпочтительнее использовать поверхности для резки из дерева или пластика.

Рекомендации по уходу и использованию: рекомендуется мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жёсткие губки. Можно мыть в посудомоечной машине.",990 Р,УТ000064864,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи стейковые
https://www.kuchenland.ru/upload/iblock/c5d/91c2d54d_0326_11eb_a02b_9cdc71c2cdfd_3c3d1295_a205_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-5-pr-v-podstavke-stal-plastik-seryy-daily/,"Набор ножей, 5 пр, в подставке, сталь/пластик, серый, Daily","Набор ножей, 5 предметов. 

Комплектация: 
нож овощной 8 см.
нож для нарезки 12 см.
нож хлебный 20 см.
нож поварской 20 см.
нож для нарезки 20 см.
подставка 23х11 см.

Материал: ножи - нержавеющая сталь, полипропилен, подставка - полипропилен. 

Рекомендуется мыть вручную с применением жидких моющих средств. Не использовать для ухода абразивные чистящие средства и жесткие губки. Ножи можно мыть в посудомоечной машине.",2 290 Р,Т1-00000410,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/3e4/588109a0_1770_11eb_a02c_9cdc71c2cdfd_aa751c60_a202_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nabory-nozhey/nabor-nozhey-5-pr-v-podstavke-kremovyy-major/,"Набор ножей, 5 пр, в подставке, кремовый, Major","Набор ножей, 5 предметов. 

Материал: 
ножи - нержавеющая сталь, пластик.
подставка - пластик, дерево акации.

Комплектация и размер: 
нож для чистки овощей и фруктов - 90 мм, 
нож универсальный - 130 мм, 
нож для нарезки - 160 мм, 
нож для хлеба - 200 мм, 
нож поварской - 200 мм, 
подставка - 13x23 см.

Рекомендации по уходу: мыть вручную с применением мягких моющих средств. Не использовать для ухода абразивные чистящие средства и жесткие губки. Ножи можно мыть в посудомоечной машине.",2 990 Р,Т1-00000878,Кухня,Приготовление еды и напитков,Кухонные ножи,Наборы ножей
https://www.kuchenland.ru/upload/iblock/116/10002e2a_fc0a_11ea_b53a_98f2b3f54c76_bbea8305_a74d_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-13-sm-keramika-plastik-kremovyy-regular/,"Нож для нарезки, 13 см, керамика/пластик, кремовый, Regular","Нож для нарезки. 

Размер: 24 см, лезвие - 13 см. 
Материал: керамика, полипропилен. 

Рекомендации по уходу: мыть вручную с применением мягких моющих средств. Не использовать абразивы и жёсткие губки. Можно мыть в посудомоечной машине. Беречь от механических повреждений.",690 Р,Т1-00000160,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
https://www.kuchenland.ru/upload/iblock/851/4fe16f40_fc0a_11ea_b53a_98f2b3f54c76_bbea8310_a74d_11eb_a036_9cdc71c2cdfd.jpeg,https://www.kuchenland.ru/catalog/kukhnya/prigotovlenie-edy-i-napitkov/kukhonnye-nozhi/nozhi-dlya-narezki/nozh-dlya-narezki-15-sm-keramika-plastik-korichnevyy-regular/,"Нож для нарезки, 15 см, керамика/пластик, коричневый, Regular","Нож для нарезки. 

Размер: 26 см, лезвие - 15 см. 
Материал: керамика, полипропилен. 

Рекомендации по уходу: мыть вручную с применением мягких моющих средств. Не использовать абразивы и жёсткие губки. Можно мыть в посудомоечной машине. Беречь от механических повреждений.",790 Р,Т1-00000161,Кухня,Приготовление еды и напитков,Кухонные ножи,Ножи для нарезки
